"Year","Tree","$Rt$","$Rt_{ARIMA}$"
1999,52130,0.78,0.89
1966,102157,0.97,0.72
1977,102157,0.63,0.67
1999,102157,0.78,0.61
1977,50652,0.91,0.62
1999,50652,1.07,0.99
1966,40873,0.77,0.71
1977,40873,0.72,0.78
1999,40873,0.66,0.71
1966,60486,1.05,0.88
1977,60486,0.69,0.66
1999,60486,0.3,0.34
1977,60467,0.78,0.42
1999,60467,1.17,0.86
1977,50563,0.77,0.34
1999,50563,1.14,1.25
1999,20693,0.75,0.85
1966,30333,1.02,0.98
1977,30333,1.42,1.07
1999,30333,0.89,0.88
1966,92562,1.87,1.44
1977,92562,1.19,1.37
1999,92562,0.78,0.86
1999,20627,0.61,0.61
1999,10664,0.37,0.45
1999,40585,0.62,0.69
1999,101150,0.76,0.84
1966,150941,0.94,0.77
1977,150941,1.32,1.51
1999,150941,1.07,1.11
1977,20847,1.69,0.82
1999,20847,0.94,1.03
1977,40536,1.59,0.95
1999,40536,0.79,0.95
1966,40493,0.57,0.56
1977,40493,0.94,1.17
1999,40493,0.73,0.64
1977,60129,1.06,1.14
1999,60129,0.91,0.84
1966,50330,0.85,0.48
1977,50330,1.61,1.87
1999,50330,0.89,0.87
1966,132532,0.85,0.75
1977,132532,0.59,0.41
1999,132532,0.99,0.86
1966,50301,1.1,0.79
1977,50301,0.92,0.58
1999,50301,0.47,0.48
1999,152661,0.97,0.97
1966,111171,0.41,0.41
1977,111171,1.98,1.67
1999,111171,1.06,1.22
1977,10743,1.16,0.75
1999,10743,0.97,1.13
1977,40889,0.81,0.62
1999,40889,0.99,0.97
1999,60295,1.06,0.91
1999,30534,1.38,1.16
1966,50433,1.9,2.19
1999,50433,0.91,0.85
1966,10647,0.9,0.95
1977,10647,0.96,0.85
1999,10647,0.69,0.56
1977,171150,0.91,0.81
1999,171150,0.24,0.23
1999,70180,0.46,0.87
1966,10730,0.96,0.98
1977,10730,1.11,1.16
1999,10730,0.51,0.52
1966,30472,0.18,0.29
1977,30472,1.34,1.16
1999,30472,0.98,1.12
1966,161024,1.05,1.13
1977,161024,0.82,0.82
1999,161024,0.92,0.88
1966,172575,0.96,0.92
1977,172575,0.72,0.89
1999,172575,0.69,0.89
1966,192707,1.17,1.15
1977,192707,0.99,0.89
1999,192707,0.83,1.04
1966,171421,0.97,1.14
1977,171421,0.65,0.65
1999,171421,0.96,1.01
1966,12303,1.25,0.76
1977,12303,1.15,0.81
1999,12303,1.54,1.74
1966,141124,0.57,0.65
1977,141124,0.87,1.14
1999,141124,1,1.26
1966,142703,1.45,1.36
1977,142703,0.62,0.68
1999,142703,1.23,1.29
1966,80481,0.76,1.08
1977,80481,0.55,0.6
1999,80481,0.81,0.79
1966,141255,1.97,1.04
1977,141255,0.81,0.64
1999,141255,1.03,1.04
1966,172565,0.95,0.97
1977,172565,0.74,0.76
1999,172565,0.79,0.77
1977,20040,0.5,0.48
1999,20040,1.12,1.02
1966,41025,0.99,1.14
1977,41025,0.73,0.75
1999,41025,0.99,1.02
1966,101259,0.86,0.89
1977,101259,0.78,0.77
1999,101259,0.91,0.88
1966,150776,1.01,1.17
1977,150776,0.5,0.51
1999,150776,0.94,0.94
1999,160001,1.36,1.27
1966,162470,0.75,0.75
1977,162470,0.6,0.66
1999,162470,0.78,0.81
1966,162591,1.18,1.03
1977,162591,0.73,0.73
1999,162591,1.01,1.3
1966,172091,1.17,0.86
1977,172091,0.49,0.43
1999,172091,1.38,1.56
1966,172493,1.51,1.45
1977,172493,0.86,0.81
1999,172493,0.98,1.11
1966,182455,0.94,0.99
1977,182455,0.41,0.38
1999,182455,0.8,0.79
1966,192552,0.95,1.34
1977,192552,0.96,0.91
1999,192552,1.62,1.44
1966,192568,1.49,1.6
1977,192568,0.74,0.8
1999,192568,1.07,0.98
1966,192594,1.14,1.09
1977,192594,0.62,0.58
1999,192594,0.75,0.88
1966,201248,0.98,0.96
1977,201248,0.59,0.63
1999,201248,1.2,1.31
1966,202528,0.74,0.54
1977,202528,0.8,0.8
1999,202528,1.05,1.22
1966,30062,0.99,0.64
1977,30062,0.28,0.26
1999,30062,1.11,0.9
1966,172542,1.51,1.7
1977,172542,0.91,0.76
1999,172542,1,0.88
1966,202379,0.9,0.78
1977,202379,0.86,0.86
1999,202379,0.87,1.16
1999,202933,1.06,1.13
1966,190735,0.69,1.34
1977,190735,0.65,0.57
1999,190735,0.56,0.72
1966,192683,0.61,1.05
1977,192683,0.54,0.55
1999,192683,0.79,0.9
1966,30174,0.93,1.56
1977,30174,0.63,0.66
1999,30174,1.06,1.1
1966,12354,1.46,0.95
1977,12354,0.95,0.99
1999,12354,0.7,0.68
1966,200577,0.48,0.83
1999,200577,0.96,0.93
1977,12387,0.38,0.39
1999,12387,1.08,1.18
1977,150761,1.2,1.37
1999,150761,0.6,0.66
1966,30135,0.72,0.44
1977,30135,0.54,0.51
1999,30135,0.46,0.45
1966,40024,0.61,0.64
1977,40024,1.04,1.09
1999,40024,0.4,0.46
1966,131360,1.57,1.06
1977,131360,0.84,0.59
1999,131360,0.54,0.49
1966,12490,0.64,0.56
1977,12490,0.35,0.74
1999,12490,0.39,0.42
1977,22604,0.85,0.68
1999,22604,0.69,0.47
1966,42544,0.29,0.23
1977,42544,0.96,0.84
1999,42544,0.43,0.38
1966,60083,0.83,0.95
1977,60083,0.77,0.8
1999,60083,0.38,0.29
1966,62248,0.71,0.79
1977,62248,0.08,0.08
1999,62248,0.76,0.62
1966,80282,0.23,0.2
1977,80282,1.08,0.94
1999,80282,0.89,1
1966,80719,0.96,1.02
1977,80719,1.06,0.89
1999,80719,0.42,0.41
1966,90645,0.45,0.85
1977,90645,0.96,0.99
1999,90645,0.4,0.38
1966,92493,0.75,0.86
1977,92493,0.98,1.21
1999,92493,0.3,0.25
1966,110950,1.56,0.94
1977,110950,0.62,0.62
1999,110950,0.5,0.53
1966,121442,0.43,0.8
1977,121442,0.65,0.59
1999,121442,0.79,0.75
1966,131017,0.41,0.36
1977,131017,0.92,0.82
1999,131017,0.4,0.34
1966,131080,0.76,1
1977,131080,0.79,0.85
1999,131080,0.38,0.39
1966,140735,0.39,0.48
1977,140735,1.52,1.41
1999,140735,0.48,0.48
1966,200168,0.35,0.33
1977,200168,1.05,1.03
1999,200168,0.48,0.5
1966,200988,0.8,0.92
1977,200988,0.88,0.92
1999,200988,0.77,0.65
1999,202162,0.66,0.68
1966,12369,1.26,1.41
1977,12369,0.91,0.82
1999,12369,0.42,0.33
1966,20804,1.25,1.03
1977,20804,0.84,1.03
1999,20804,0.18,0.17
1966,42250,0.42,0.37
1999,42250,0.66,0.8
1966,82403,0.83,0.7
1977,82403,0.71,0.71
1999,82403,0.46,0.42
1966,92360,0.6,0.65
1977,92360,0.97,1.01
1999,92360,0.83,0.85
1966,102470,0.66,0.63
1977,102470,0.53,0.66
1999,102470,0.55,0.52
1966,42232,0.37,0.4
1977,42232,0.84,0.8
1999,42232,0.32,0.29
1966,90285,0.93,1.1
1977,90285,0.63,0.79
1999,90285,0.82,0.66
1966,111166,0.51,1.54
1977,111166,0.81,0.81
1999,111166,0.49,0.47
1966,160962,0.58,0.59
1977,160962,0.41,0.46
1999,160962,0.98,1.01
1999,200188,0.9,0.66
1966,80248,0.26,0.23
1977,80248,0.47,0.63
1999,80248,0.57,0.5
1977,192129,1.17,0.66
1999,192129,0.69,0.73
1966,92389,0.32,0.29
1977,92389,0.74,0.65
1999,92389,0.4,0.48
1966,90369,0.35,0.73
1977,90369,0.47,0.43
1999,90369,0.48,0.74
1966,110952,0.86,0.98
1977,110952,0.62,0.52
1999,110952,0.63,0.74
1977,192128,0.56,0.41
1999,192128,0.27,0.24
1966,120924,0.4,0.76
1977,120924,1.07,0.76
1999,120924,0.45,0.5
1999,12366,0.48,0.49
1966,82317,0.35,0.33
1977,82317,0.69,0.61
1999,82317,0.28,0.31
1966,50281,0.59,0.58
1977,50281,0.65,0.48
1999,50281,0.58,0.61
1977,22603,1.48,0.96
1999,22603,0.34,0.31
1966,100997,0.64,0.62
1977,100997,1.49,1.08
1999,100997,0.5,0.65
1966,190497,0.49,0.51
1977,190497,1.31,1.22
1999,190497,0.57,0.59
1966,131047,0.34,0.59
1977,131047,1.43,0.97
1999,131047,0.92,1.01
1966,91491,0.53,0.67
1977,91491,1.47,1.44
1999,91491,0.79,0.7
1966,60125,0.7,0.79
1999,60125,0.64,0.61
1966,52388,0.55,0.49
1977,52388,0.86,0.65
1999,52388,0.78,0.63
1966,80746,1.86,0.91
1977,80746,0.28,0.44
1999,80746,0.66,0.46
1966,92486,0.48,0.5
1977,92486,0.92,0.85
1999,92486,0.53,0.49
1966,121423,0.58,0.64
1977,121423,0.75,0.75
1999,121423,0.41,0.34
1966,52237,0.45,0.69
1977,52237,0.86,0.83
1999,52237,0.65,0.52
1966,80641,0.57,0.56
1977,80641,1.1,0.87
1999,80641,0.25,0.22
1966,110899,0.77,0.52
1977,110899,0.43,0.6
1999,110899,0.84,0.83
1966,171403,0.65,0.84
1977,171403,1.05,0.98
1999,171403,0.58,0.6
1966,50455,1.08,0.99
1977,50455,0.9,0.83
1999,50455,0.74,0.68
1966,80540,0.44,0.41
1977,80540,0.97,0.98
1999,80540,0.98,1.13
1966,90130,1.05,1
1977,90130,1.31,1.24
1999,90130,0.83,0.79
1966,172168,0.64,0.59
1977,172168,0.56,0.53
1999,172168,1,0.86
1966,70602,0.79,0.72
1977,70602,0.7,0.6
1999,70602,0.6,0.6
1966,122404,0.77,0.8
1977,122404,0.69,0.76
1999,122404,0.81,0.77
1966,60210,1.09,1.25
1977,60210,0.82,0.74
1999,60210,0.79,0.73
1966,112336,0.93,0.9
1977,112336,0.92,0.94
1999,112336,0.84,1.02
1966,142565,1.31,1.15
1977,142565,0.93,1.08
1999,142565,0.77,0.74
1966,122211,1.55,1.33
1977,122211,0.81,0.74
1999,122211,0.92,1.05
1966,192029,0.93,0.92
1977,192029,0.72,0.66
1999,192029,1.21,0.83
1966,60507,0.64,0.63
1977,60507,0.9,0.67
1999,60507,1.23,1.11
1966,70601,0.35,0.38
1977,70601,1.26,1.24
1999,70601,0.93,0.96
1966,90273,1.66,1.52
1977,90273,1.03,0.87
1999,90273,0.66,0.61
1966,111195,0.48,0.65
1977,111195,0.61,0.48
1999,111195,1.41,0.59
1966,60060,0.7,0.7
1977,60060,0.9,0.65
1999,60060,0.84,0.74
1966,60331,0.87,0.86
1977,60331,0.74,0.66
1999,60331,0.74,0.76
1966,70535,0.93,0.96
1977,70535,1.03,1.08
1999,70535,0.9,0.92
1966,50234,1.07,1.35
1977,50234,0.65,0.71
1999,50234,0.91,0.93
1966,110870,1.83,1.52
1977,110870,0.65,0.59
1999,110870,0.69,0.68
1966,62148,0.76,0.64
1977,62148,0.75,0.88
1999,62148,0.95,0.94
1966,111172,0.98,0.94
1977,111172,0.77,0.7
1999,111172,0.65,0.84
1966,140764,0.92,1
1977,140764,0.5,0.43
1999,140764,0.79,0.9
1966,70444,0.96,0.97
1977,70444,0.64,0.65
1999,70444,0.52,0.56
1966,70308,0.84,0.77
1977,70308,1,0.97
1999,70308,0.78,0.78
1966,50367,1.25,1.18
1977,50367,0.39,0.68
1999,50367,0.61,0.56
1966,100942,1.03,1.06
1977,100942,0.65,1
1999,100942,0.88,1.03
1966,70083,0.85,1.02
1977,70083,0.88,0.88
1999,70083,0.62,0.66
1966,80402,0.95,0.97
1977,80402,1.01,1.03
1999,80402,0.9,0.87
1977,111173,0.41,0.4
1999,111173,1.23,1.23
1966,80230,1.07,1.03
1977,80230,0.45,0.41
1999,80230,1.04,1.21
1966,152069,1.47,1.14
1977,152069,0.7,0.49
1999,152069,0.87,0.83
1966,52323,0.85,0.83
1977,52323,1.17,1.2
1999,52323,1.2,1.32
1966,151120,0.94,1.02
1977,151120,0.68,0.64
1999,151120,0.69,0.74
1966,52462,1.01,1.03
1977,52462,0.83,0.83
1999,52462,0.74,0.67
1966,62373,0.91,0.82
1977,62373,0.5,0.51
1999,62373,0.5,0.76
1966,101075,0.94,0.79
1977,101075,0.56,0.52
1999,101075,0.51,2.32
1966,60023,1.27,1.29
1977,60023,0.64,0.54
1999,60023,0.66,0.64
1966,141031,1.07,1.06
1977,141031,0.56,0.56
1999,141031,1.05,1.07
1966,202324,1.22,1.38
1977,202324,0.48,0.53
1999,202324,1.42,1.29
1966,70198,1.26,1.17
1977,70198,0.37,0.43
1999,70198,0.97,0.84
1966,80663,1.65,1.14
1977,80663,0.41,0.57
1999,80663,0.63,0.58
1966,192108,0.86,0.94
1977,192108,0.42,0.49
1999,192108,0.98,1.16
1966,162030,0.8,1.03
1977,162030,0.6,0.5
1999,162030,0.54,0.43
1966,202103,0.61,0.84
1977,202103,0.88,0.91
1999,202103,1.14,1.15
1966,70148,0.77,0.78
1977,70148,1,0.87
1999,70148,0.38,0.43
1966,101121,1.45,1.68
1977,101121,0.74,0.7
1999,101121,1.09,1.11
1966,32032,0.81,0.93
1977,32032,0.53,0.44
1999,32032,0.55,0.73
1966,162438,1.22,0.99
1977,162438,0.39,0.37
1999,162438,0.71,0.67
1966,202010,1.05,1.03
1977,202010,0.86,0.75
1999,202010,0.77,0.76
1966,42389,1.04,0.97
1977,42389,0.51,0.5
1999,42389,1.05,1.08
1966,202029,1.92,0.95
1977,202029,0.91,0.53
1999,202029,1.35,1.27
1999,110727,0.56,0.59
1977,101136,0.79,0.77
1999,101136,0.68,0.73
1966,100540,0.81,0.96
1977,100540,0.89,0.85
1999,100540,0.56,0.62
1966,60143,0.9,1.19
1977,60143,1.04,0.95
1999,60143,0.62,0.62
1966,60345,0.94,0.94
1977,60345,0.84,0.61
1999,60345,0.9,0.99
1966,90529,1.42,1.12
1977,90529,0.5,0.5
1999,90529,1.05,1.04
1966,100552,0.79,0.87
1977,100552,0.98,0.99
1999,100552,1.16,0.9
1966,121186,1.21,1.22
1977,121186,0.94,0.78
1999,121186,0.8,0.77
1966,131087,0.82,0.9
1977,131087,0.97,0.96
1999,131087,0.83,0.85
1966,80330,0.73,0.72
1977,80330,0.89,0.9
1999,80330,1.05,0.97
1966,182060,1.34,1.5
1977,182060,0.74,0.73
1999,182060,0.86,1.36
1966,121329,0.79,0.78
1977,121329,0.67,0.61
1999,121329,1.04,0.99
1966,180952,1.43,1.55
1977,180952,1.43,1.24
1999,180952,1.41,1.29
1966,32516,0.84,0.94
1977,32516,0.86,0.77
1999,32516,1.1,0.87
1966,92250,1.1,1.07
1977,92250,1.26,0.98
1999,92250,1.1,1.09
1966,50046,0.91,0.87
1977,50046,0.83,0.7
1999,50046,1.06,1.27
1966,202496,1.04,0.74
1977,202496,0.65,0.59
1999,202496,0.65,1.04
1966,42092,1.02,1.09
1977,42092,0.91,0.83
1999,42092,0.83,0.89
1966,60522,0.92,0.8
1977,60522,0.64,0.61
1999,60522,0.76,0.77
1966,82115,0.96,1
1977,82115,0.79,0.77
1999,82115,1.11,1.52
1966,10636,1.17,0.98
1977,10636,1.02,1.07
1999,10636,0.96,1.08
1966,120911,0.74,0.71
1977,120911,0.97,0.62
1999,120911,1.3,1.38
1966,52343,0.68,0.69
1977,52343,0.89,0.76
1999,52343,0.9,0.97
1966,192112,0.98,0.98
1977,192112,0.38,0.4
1999,192112,0.63,0.71
1966,112082,1.1,0.93
1977,112082,0.75,0.79
1999,112082,0.79,0.87
1966,32493,1.03,1.07
1977,32493,0.62,0.54
1999,32493,0.81,0.78
1966,42207,0.85,0.89
1977,42207,0.88,0.88
1999,42207,0.55,0.62
1966,42304,0.84,0.84
1977,42304,1.18,0.88
1999,42304,0.8,0.78
1966,50404,1.13,1.16
1977,50404,0.64,0.71
1999,50404,1.13,1.58
1966,52276,0.87,0.84
1977,52276,0.69,0.6
1999,52276,0.89,0.88
1966,62007,0.84,0.89
1977,62007,0.67,0.62
1999,62007,0.91,0.98
1966,82120,1.02,0.88
1977,82120,0.69,0.67
1999,82120,0.77,0.69
1966,91493,0.94,0.87
1977,91493,0.68,0.96
1999,91493,0.76,0.76
1966,100551,0.85,0.83
1977,100551,0.74,0.7
1999,100551,0.84,0.81
1966,111163,0.81,0.86
1977,111163,1.04,0.99
1999,111163,1.21,1.13
1966,120162,1.22,0.69
1977,120162,0.98,0.94
1999,120162,1.19,1.2
1966,140756,0.64,0.67
1977,140756,0.86,0.8
1999,140756,0.71,0.7
1966,142015,1.07,1.02
1977,142015,0.92,0.97
1999,142015,0.62,0.6
1966,180929,0.91,0.92
1977,180929,0.79,0.8
1999,180929,0.9,0.95
1966,192239,0.68,0.72
1977,192239,0.58,0.79
1999,192239,0.95,0.84
1966,82418,1.14,1.16
1977,82418,0.94,0.86
1999,82418,0.99,0.88
1966,142568,0.86,0.85
1977,142568,0.77,0.82
1999,142568,0.94,1.03
1966,160921,0.83,0.86
1977,160921,0.9,0.84
1999,160921,0.98,0.94
1966,180778,0.75,0.82
1977,180778,1.16,1.12
1999,180778,0.72,0.81
1966,90631,1.34,1.22
1977,90631,0.64,0.64
1999,90631,1.05,1.12
1966,12445,0.72,0.85
1977,12445,1.13,1.25
1999,12445,1.39,1.2
1966,10517,1.51,1.23
1977,10517,0.9,0.79
1999,10517,0.37,0.55
